Date,MXBR,MXCA,MXCH,MXFR,MXGB,MXIN,MXJP,MXZA,TAMSCI,MXEG,BBDXY
2006-09-15,2150.0684,1449.679,955.3531,200.2582,4075.4033,11.9836,8.9948,91.6972,9.9275,267.311,1045.17
2006-09-22,2017.2351,1441.6706,981.4753,202.7875,4094.4373,12.2328,8.9438,91.2277,10.1821,275.2165,1037.9
2006-09-29,2158.8265,1472.328,983.2703,205.2224,4128.8078,12.4594,9.1292,90.9274,10.1109,279.2256,1045.42
2006-10-06,2228.151,1451.4715,986.9082,204.9755,4159.8855,12.5132,9.224,90.6063,10.2652,272.5143,1051.57
2006-10-13,2316.2845,1463.0134,990.8009,205.7611,4228.4788,12.9558,9.1486,96.6398,10.343,271.4973,1055.87
2006-10-20,2302.5059,1497.0779,1002.4699,208.7789,4290.5059,12.9617,9.3145,97.7913,10.2278,274.6312,1046.89
2006-10-27,2353.9801,1536.133,1017.389,211.6886,4324.4597,13.1991,9.4434,98.4075,10.3094,274.6312,1038.79
2006-11-03,2402.113,1537.682,1012.2369,209.2449,4324.3382,13.5158,9.2156,102.4657,10.5009,284.1001,1040.98
2006-11-10,2434.0751,1555.3383,1031.4094,216.3244,4403.8186,13.7505,9.0789,106.1598,10.5353,279.0678,1036.7
2006-11-17,2429.9674,1540.3606,1029.79,215.9325,4356.2101,13.8,9.028,101.6875,10.58,279.855,1041.25
2006-11-24,2466.6913,1586.0135,1046.7198,218.697,4396.8753,14.1321,8.9621,108.9599,10.8999,288.8346,1024.94
2006-12-01,2449.732,1587.4878,1035.1125,216.8404,4440.9315,14.2503,9.3914,110.0563,11.3376,287.6981,1018.3
2006-12-08,2577.4732,1600.2695,1042.0233,220.5708,4487.41,14.1725,9.3803,110.2683,11.3028,293.1794,1021.8
2006-12-15,2610.0521,1580.5609,1055.162,224.3294,4552.2318,14.1248,9.4855,111.7745,11.0663,296.479,1028.86
2006-12-22,2590.5821,1558.511,1048.8576,221.8099,4518.4611,13.9952,9.5299,115.7572,11.2029,300.9584,1028.1
2006-12-29,2688.4529,1576.8416,1057.9314,226.5997,4543.5113,14.4847,9.5876,117.7493,11.4172,309.2678,1027.45
2007-01-05,2545.5812,1511.1208,1056.4002,222.6962,4483.6203,14.557,9.5698,110.2546,11.4177,318.1163,1035.98
2007-01-12,2601.8909,1543.3901,1062.3804,225.2049,4558.8934,14.6845,9.485,112.4171,11.3001,313.1578,1040.43
2007-01-19,2637.7021,1545.9494,1078.7147,225.7398,4602.8377,14.8797,9.5738,115.3426,11.3641,308.4682,1038.97
2007-01-26,2704.2733,1568.0135,1060.1424,223.4445,4559.4474,14.987,9.6461,116.2282,11.276,300.2221,1045.15
2007-02-02,2771.79,1580.9063,1090.3309,227.8435,4635.4716,15.184,9.759,118.933,11.2256,303.1235,1041.17
2007-02-09,2714.0333,1592.395,1092.9797,229.5329,4659.3725,15.3142,9.7408,118.3712,11.2987,312.8577,1041.56
2007-02-16,2790.8035,1634.5236,1111.3293,232.6309,4687.5206,15.1267,10.1109,122.4521,11.1774,323.8298,1032.26
2007-02-23,2805.0262,1642.4281,1102.8169,233.6839,4708.3993,14.3206,10.1884,126.1323,11.1774,330.203,1034.09
2007-03-02,2549.5794,1558.9283,1061.4214,222.1521,4458.5873,13.4978,10.0089,113.9484,10.937,321.5549,1028.65
2007-03-09,2681.1954,1592.3216,1067.6138,225.3721,4545.9926,13.5181,9.9281,116.9619,10.6989,319.2172,1034.24
2007-03-16,2605.5054,1559.272,1065.3264,222.7719,4490.6104,13.1503,9.7497,113.7528,10.859,322.034,1024.64
2007-03-23,2798.2439,1631.808,1100.9891,232.5756,4701.2567,14.1659,10.0478,123.8262,11.0909,317.5394,1023.98
2007-03-30,2852.9373,1631.3252,1092.7261,233.9931,4698.3847,13.9964,9.9692,124.3093,11.0622,319.7287,1022.53
2007-04-06,2935.2157,1668.2405,1099.8966,239.6124,4759.2668,13.9301,9.8451,128.5317,11.2482,323.153,1019.29
2007-04-13,3011.8362,1705.5826,1116.103,242.8434,4851.9209,14.6579,9.7724,131.3293,11.2041,330.2775,1014.58
